"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1789490693351563596","Sun May 12 03:00:03 +0000 2024","0","Selamat Hari Perawat Sedunia #jelajahvisi #rifkyindrawan #perawat https://t.co/eK420ofmNT","1789490693351563596","https://pbs.twimg.com/media/GNWMTWHW8AA_Oww.jpg","","in","Indonesia","0","0","0","https://x.com/rifkyindrawan/status/1789490693351563596","76401629","rifkyindrawan"
"1769196970919494109","Sun Mar 17 03:00:02 +0000 2024","0","Selamat Hari Perawat Nasional #jelajahvisi #rifkyindrawan #perawat https://t.co/Dg9hPZnXiV","1769196970919494109","https://pbs.twimg.com/media/GG9IwVza0AAmIp7.jpg","","in","Indonesia","0","0","0","https://x.com/rifkyindrawan/status/1769196970919494109","76401629","rifkyindrawan"
"1656848300165988352","Fri May 12 02:26:32 +0000 2023","0","Selamat Hari Perawat Internasional! Terima kasih untuk seluruh perawat yang telah mengabdi &amp; memberikan pelayanan yang terbaik selama ini. Terutama saat pandemi Covid-19 #HariPerawatInternasional #perawat #hariperawat #terimakasihperawat https://t.co/QwBsBWrZjD","1656848300165988352","https://pbs.twimg.com/ext_tw_video_thumb/1656848049904451584/pu/img/qIkUlcqmMb6sh8PK.jpg","","in","Indonesia","0","0","0","https://x.com/lensaRTV/status/1656848300165988352","2393930923","lensaRTV"
"1636580285616889856","Fri Mar 17 04:08:40 +0000 2023","0","Terima kasih untuk semua perawat yang selalu siaga memberikan pelayanan kesehatan yang terbaik. Semoga teman-teman perawat juga sehat dan sejahtera selalu ya Selamat Hari Perawat Nasional! #hariperawatnasional #hariperawat #perawat #perawatindonesia https://t.co/OhEiywDvHO","1636580285616889856","https://pbs.twimg.com/ext_tw_video_thumb/1636580017139519489/pu/img/w5_iHDzPqOSk48TE.jpg","","in","Indonesia","0","0","0","https://x.com/lensaRTV/status/1636580285616889856","2393930923","lensaRTV"
"1635240171007516672","Mon Mar 13 11:23:32 +0000 2023","84","Siapa sangka kalau ternyata 1 kejadian di malam itu langsung memunculkan trauma bagi seorang perawat?! -A Thread- @bacahorror_id @IDN_Horor @scarydone Film Klab Astral: https://t.co/ZfJKStMuJX #ngobrolinastral #beritahorormingguini #perawat #rumahsakitangker #ceritahoror https://t.co/HM4mwpuujB","1635240171007516672","https://pbs.twimg.com/media/FrGJkN0aMAEu6d5.jpg","","in","","2","1","28","https://x.com/ngobrolinastral/status/1635240171007516672","1578236822517211136","ngobrolinastral"
"1789513342899400723","Sun May 12 04:30:03 +0000 2024","0","Selamat Hari Perawat Sedunia #lampungkita #lampung #perawat https://t.co/PFW2TwKcLW","1789513342899400723","https://pbs.twimg.com/media/GNWg5r9XwAEEgdO.jpg","","in","Bandar Lampung","1","0","0","https://x.com/lampungkitaid/status/1789513342899400723","317626075","lampungkitaid"
"1711364089405198687","Mon Oct 09 12:52:49 +0000 2023","1","Hidup itu indah yuk Tenaga Kesehatan Indonesia bantu ostomate menjalani hidup yang lebih baik. https://t.co/VGsQL2ZgoQ #kolostomi #stoma #perawat #dokter #infokesehatan #kesehatan https://t.co/NR0fANxeGM","1711364089405198687","https://pbs.twimg.com/ext_tw_video_thumb/1711363869996933120/pu/img/qeCkKKtta2DddO5g.jpg","","in","Bogor","0","0","0","https://x.com/wocare_center/status/1711364089405198687","747983532","wocare_center"
"1694574399318532189","Thu Aug 24 04:56:35 +0000 2023","0","Untuk batch 1 ini saja FREE. Segera daftarkan diri anda. #caregiver #Japan #jepang #perawat https://t.co/sTYmksDBmZ","1694574399318532189","https://pbs.twimg.com/media/F4RWb4haAAA3KCL.jpg","","in","South Borneo, Indonesia","0","1","3","https://x.com/furitanotabi/status/1694574399318532189","83974026","furitanotabi"
"1769220008054526312","Sun Mar 17 04:31:35 +0000 2024","2","Selamat Hari Perawat Nasional untuk seluruh #perawat indonesia khususnya peraawat #kotadepok Tetap semangat dalam mengabdi dan bertugas demi wujudkan bangsa yang sehat. https://t.co/dlSdMr0GTP","1769220008054526312","https://pbs.twimg.com/media/GI2INXoawAAxBpk.jpg","","in","Margonda Raya No. 54 Depok","0","0","1","https://x.com/Humas_depok/status/1769220008054526312","562649371","Humas_depok"
"1656870577083387905","Fri May 12 03:55:03 +0000 2023","0","International Nurse Day Our Nurses Our Future #perawat #nurse #tenagakesehatan #internasional #Antaranews #Antaranewsbali https://t.co/BcfMNQ6UzZ","1656870577083387905","https://pbs.twimg.com/media/Fv5jAFXaAAAtCi7.jpg","","en","Denpasar, Bali","0","0","0","https://x.com/antaranews_bali/status/1656870577083387905","91941244","antaranews_bali"
"1769219623004540983","Sun Mar 17 04:30:03 +0000 2024","1","Selamat Hari Perawat Nasional #lampungkita #lampung #perawat https://t.co/wh5I6fbgHl","1769219623004540983","https://pbs.twimg.com/media/GI2H3uRXEAE_E5l.jpg","","in","Bandar Lampung","0","0","0","https://x.com/lampungkitaid/status/1769219623004540983","317626075","lampungkitaid"
"1636626905012269056","Fri Mar 17 07:13:55 +0000 2023","3","Selamat Hari Perawat Nasional 17 Maret 2023. Gapai sejahtera dengan profesionalisme. #hariperawat #perawat https://t.co/CS8xMPjVwD","1636626905012269056","https://pbs.twimg.com/media/FrZ3e9aaQAAQ_Xd.jpg","","in","Kota Malang, Jawa Timur","0","0","2","https://x.com/PemkotMalang/status/1636626905012269056","259149698","PemkotMalang"
"1795083688742420773","Mon May 27 13:24:37 +0000 2024","1","open jasa joki pembuatan str online untuk semua nakes - buat str baru/perpanjangan - perbaiki data yang salah distr lama - naik level #nakes #perawat #bidan #farmasi #radiologi #stronline #strnakes https://t.co/9pGvXWKnzE","1795083688742420773","https://pbs.twimg.com/media/GOlrGhabEAAMazy.jpg","","in","Kwangya","0","0","0","https://x.com/minjeongoppa/status/1795083688742420773","837460095717912576","minjeongoppa"
"1672839159101247488","Sun Jun 25 05:28:30 +0000 2023","0","Wawali Arya Wibawa Hadiri Puncak International Nurses Day 2023 #AryaWibawa #BaliPortalNews #Denpasar #FlorenceNightingale #InternationalNursesDay #Perawat #PersatuanPerawatNasionalIndonesia #PPNI https://t.co/8xBXAqwyRg https://t.co/pZlWgSMU04","1672839159101247488","https://pbs.twimg.com/media/FzceWcXWcAEOQfR.jpg","","in","Bali","0","0","0","https://x.com/Baliportal_news/status/1672839159101247488","1502906711966830595","Baliportal_news"
"1693135993317310651","Sun Aug 20 05:40:52 +0000 2023","0","Diduga kesalahan prosedur dalam pemberian susu formula oleh oknum perawat di Rumah Sakit Anak Bunda Harapan Kita Jakbar. BEL #LintasiNews #MNCTV #Kelalaian #oknum #perawat #rumahsakit #bayi #kritis https://t.co/cdttlTEiKG","1693135993317310651","https://pbs.twimg.com/media/F386M-MagAAB5JY.jpg","","in","Indonesia","0","1","0","https://x.com/Lintas_MNCTV/status/1693135993317310651","61377303","Lintas_MNCTV"
"1625034538677051392","Mon Feb 13 07:30:00 +0000 2023","1","Kasus bayi jarinya terpotong gunting akibat kelalaian seorang oknum perawat Rumah Sakit Muhammadyah Palembang berakhir damai di kantor polisi. NNN #MNCTVNews #LintasiNewsPagi #LintasiNews #Perawat #Palembang #Korban #Damai https://t.co/nyeU0oFODp","1625034538677051392","https://pbs.twimg.com/amplify_video_thumb/1625005707102924800/img/2gGA0CXvTkTufv5k.jpg","","in","Indonesia","0","0","0","https://x.com/Lintas_MNCTV/status/1625034538677051392","61377303","Lintas_MNCTV"
"1737862835139752156","Thu Dec 21 15:49:22 +0000 2023","1","#pelatihan #mahir #mata #perawat https://t.co/iD8RSXEBYM","1737862835139752156","https://pbs.twimg.com/media/GB4hCeWa8AE4BwI.jpg","","qme","Bandung, Indonesia","0","0","0","https://x.com/rs_matacicendo/status/1737862835139752156","505374412","rs_matacicendo"
"1624782879694925825","Sun Feb 12 14:50:00 +0000 2023","0","Kasus jari bayi yang terpotong akibat kelalaian seorang oknum perawat Rumah Sakit Muhammadiyah Palembang berakhir damai di kantor polisi. Keluarga korban memaafkan tersangka dan menganggap insiden ini sebagai sebuah musibah. YLD #iNews #Palembang #Perawat https://t.co/tSYTg7g3l0","1624782879694925825","https://pbs.twimg.com/media/FowrDR1aUAAMpP1.jpg","","in","iNews Tower Jakarta","0","0","2","https://x.com/SeputariNews/status/1624782879694925825","375995332","SeputariNews"
"1789468924918337997","Sun May 12 01:33:33 +0000 2024","2","Hai Sobat Sehat Mari kita ucapkan terimakasih kepada para Perawat Indonesia yang telah memberikan pelayanan dan pengabdian terbaiknya untuk bangsa Selamat Hari Perawat Internasional 2024 #hariperawat #hariperawatnasional #perawatsejahtera #perawat #perawatprofesional https://t.co/xybLJCMLO6","1789468924918337997","https://pbs.twimg.com/media/GNV4f3QawAAQosz.jpg","","in","DKI Jakarta, Indonesia","0","0","1","https://x.com/dinkesJKT/status/1789468924918337997","942558493604638720","dinkesJKT"
"1789622518497866114","Sun May 12 11:43:52 +0000 2024","0","Dalam setiap sentuhan dan senyuman kalian terdapat kekuatan untuk menyembuhkan. Terima kasih atas dedikasi dan pengabdianmu. Selamat Hari Perawat Internasional! #ykakiwecare #pedulianakkanker #childhoodcancer #Indonesia #Internationalnurseday #Perawat #PerawatIndonesia https://t.co/ZVFcqDREXn","1789622518497866114","https://pbs.twimg.com/media/GNYEIcjbMAAJbT9.jpg","","in","Jl.Percetakan Negara XI No.129","0","0","0","https://x.com/YKAKIwecare/status/1789622518497866114","173694733","YKAKIwecare"
"1661930160499703808","Fri May 26 03:00:02 +0000 2023","1","Tak terima atas kematian sang ibu keluarga pasien menganiaya seorang perawat yang tengah bertugas membersihkan peralatan medis di ruang ICU RSUD Kendari Sulawesi Tenggara. MYF #MNCTVNews #Viral #Kendari #Nakes #Perawat https://t.co/IRod34zoiC","1661930160499703808","https://pbs.twimg.com/media/FxBMfX-akAMdr21.jpg","","in","Indonesia","0","0","0","https://x.com/Lintas_MNCTV/status/1661930160499703808","61377303","Lintas_MNCTV"
